Question,Segment Type,Segment Description,Answer,Count,Percentage
What social platform has influenced your online shopping most?,University,Whatsgoodly University,None,0,0.0
What social platform has influenced your online shopping most?,University,Tufts University,Facebook,3,0.429
What social platform has influenced your online shopping most?,University,Tufts University,Instagram,3,0.429
What social platform has influenced your online shopping most?,University,Tufts University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Tufts University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Tufts University,None,1,0.143
What social platform has influenced your online shopping most?,University,Texas Tech University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Texas Tech University,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,Texas Tech University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Texas Tech University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Texas Tech University,None,0,0.0
What social platform has influenced your online shopping most?,University,Kansas State University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Kansas State University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Kansas State University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Kansas State University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Kansas State University,None,1,1.0
What social platform has influenced your online shopping most?,University,University of Notre Dame,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Notre Dame,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of Notre Dame,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Notre Dame,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Notre Dame,None,1,1.0
What social platform has influenced your online shopping most?,University,University of Georgia,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Georgia,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,University of Georgia,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Georgia,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Georgia,None,0,0.0
What social platform has influenced your online shopping most?,University,Ohio University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Ohio University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Ohio University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Ohio University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Ohio University,None,1,1.0
What social platform has influenced your online shopping most?,University,Washington State University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Washington State University,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,Washington State University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Washington State University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Washington State University,None,0,0.0
What social platform has influenced your online shopping most?,University,Binghamtom University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Binghamtom University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Binghamtom University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Binghamtom University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Binghamtom University,None,1,1.0
What social platform has influenced your online shopping most?,University,George Washington University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,George Washington University,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,George Washington University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,George Washington University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,George Washington University,None,0,0.0
What social platform has influenced your online shopping most?,University,University of Alabama,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Alabama,Instagram,1,0.333
What social platform has influenced your online shopping most?,University,University of Alabama,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Alabama,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Alabama,None,2,0.667
What social platform has influenced your online shopping most?,University,University of Florida,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Florida,Instagram,1,0.333
What social platform has influenced your online shopping most?,University,University of Florida,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Florida,Twitter,1,0.333
What social platform has influenced your online shopping most?,University,University of Florida,None,1,0.333
What social platform has influenced your online shopping most?,University,The College of New Jersey,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,The College of New Jersey,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,The College of New Jersey,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,The College of New Jersey,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,The College of New Jersey,None,1,1.0
What social platform has influenced your online shopping most?,University,Florida State University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Florida State University,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,Florida State University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Florida State University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Florida State University,None,0,0.0
What social platform has influenced your online shopping most?,University,Santa Clara University,Facebook,1,0.333
What social platform has influenced your online shopping most?,University,Santa Clara University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Santa Clara University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Santa Clara University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Santa Clara University,None,2,0.667
What social platform has influenced your online shopping most?,University,Appalachian State University,Facebook,6,0.24
What social platform has influenced your online shopping most?,University,Appalachian State University,Instagram,6,0.24
What social platform has influenced your online shopping most?,University,Appalachian State University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Appalachian State University,Twitter,3,0.12
What social platform has influenced your online shopping most?,University,Appalachian State University,None,10,0.4
What social platform has influenced your online shopping most?,University,Arbroath Academy,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Arbroath Academy,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Arbroath Academy,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Arbroath Academy,Twitter,1,1.0
What social platform has influenced your online shopping most?,University,Arbroath Academy,None,0,0.0
What social platform has influenced your online shopping most?,University,Arkansas Tech University ,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Arkansas Tech University ,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Arkansas Tech University ,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Arkansas Tech University ,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Arkansas Tech University ,None,1,1.0
What social platform has influenced your online shopping most?,University,University of Rhode Island,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Rhode Island,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of Rhode Island,Snapchat,1,1.0
What social platform has influenced your online shopping most?,University,University of Rhode Island,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Rhode Island,None,0,0.0
What social platform has influenced your online shopping most?,University,Virginia Tech,Facebook,1,0.333
What social platform has influenced your online shopping most?,University,Virginia Tech,Instagram,2,0.667
What social platform has influenced your online shopping most?,University,Virginia Tech,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Virginia Tech,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Virginia Tech,None,0,0.0
What social platform has influenced your online shopping most?,University,Syracuse University,Facebook,1,0.333
What social platform has influenced your online shopping most?,University,Syracuse University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Syracuse University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Syracuse University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Syracuse University,None,2,0.667
What social platform has influenced your online shopping most?,University,Cypress Creek High School,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Cypress Creek High School,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,Cypress Creek High School,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Cypress Creek High School,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Cypress Creek High School,None,0,0.0
What social platform has influenced your online shopping most?,University,Union High School,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Union High School,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Union High School,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Union High School,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Union High School,None,1,1.0
What social platform has influenced your online shopping most?,University,College of William and Mary,Facebook,22,0.282
What social platform has influenced your online shopping most?,University,College of William and Mary,Instagram,22,0.282
What social platform has influenced your online shopping most?,University,College of William and Mary,Snapchat,3,0.038
What social platform has influenced your online shopping most?,University,College of William and Mary,Twitter,1,0.013
What social platform has influenced your online shopping most?,University,College of William and Mary,None,30,0.385
What social platform has influenced your online shopping most?,University,Ohio State University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Ohio State University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Ohio State University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Ohio State University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Ohio State University,None,2,1.0
What social platform has influenced your online shopping most?,University,Gulf Breeze High School,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Gulf Breeze High School,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Gulf Breeze High School,Snapchat,1,1.0
What social platform has influenced your online shopping most?,University,Gulf Breeze High School,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Gulf Breeze High School,None,0,0.0
What social platform has influenced your online shopping most?,University,Cal Poly San Luis Obispo,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Cal Poly San Luis Obispo,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Cal Poly San Luis Obispo,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Cal Poly San Luis Obispo,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Cal Poly San Luis Obispo,None,1,1.0
What social platform has influenced your online shopping most?,University,Oklahoma State University ,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Oklahoma State University ,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Oklahoma State University ,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Oklahoma State University ,Twitter,1,1.0
What social platform has influenced your online shopping most?,University,Oklahoma State University ,None,0,0.0
What social platform has influenced your online shopping most?,University,University of Texas,Facebook,6,0.333
What social platform has influenced your online shopping most?,University,University of Texas,Instagram,4,0.222
What social platform has influenced your online shopping most?,University,University of Texas,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Texas,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Texas,None,8,0.444
What social platform has influenced your online shopping most?,University,Hampden-Sydney College ,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Hampden-Sydney College ,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Hampden-Sydney College ,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Hampden-Sydney College ,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Hampden-Sydney College ,None,2,1.0
What social platform has influenced your online shopping most?,University,University of Arizona,Facebook,8,0.229
What social platform has influenced your online shopping most?,University,University of Arizona,Instagram,17,0.486
What social platform has influenced your online shopping most?,University,University of Arizona,Snapchat,1,0.029
What social platform has influenced your online shopping most?,University,University of Arizona,Twitter,4,0.114
What social platform has influenced your online shopping most?,University,University of Arizona,None,5,0.143
What social platform has influenced your online shopping most?,University,Coventry University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Coventry University,Instagram,2,1.0
What social platform has influenced your online shopping most?,University,Coventry University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Coventry University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Coventry University,None,0,0.0
What social platform has influenced your online shopping most?,University,Rochester Institute of Technology,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Rochester Institute of Technology,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Rochester Institute of Technology,Snapchat,1,1.0
What social platform has influenced your online shopping most?,University,Rochester Institute of Technology,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Rochester Institute of Technology,None,0,0.0
What social platform has influenced your online shopping most?,University,Southern Methodist University,Facebook,2,0.222
What social platform has influenced your online shopping most?,University,Southern Methodist University,Instagram,1,0.111
What social platform has influenced your online shopping most?,University,Southern Methodist University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Southern Methodist University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Southern Methodist University,None,6,0.667
What social platform has influenced your online shopping most?,University,Colgate University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Colgate University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Colgate University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Colgate University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Colgate University,None,2,1.0
What social platform has influenced your online shopping most?,University,Northwestern University,Facebook,19,0.224
What social platform has influenced your online shopping most?,University,Northwestern University,Instagram,30,0.353
What social platform has influenced your online shopping most?,University,Northwestern University,Snapchat,2,0.024
What social platform has influenced your online shopping most?,University,Northwestern University,Twitter,3,0.035
What social platform has influenced your online shopping most?,University,Northwestern University,None,31,0.365
What social platform has influenced your online shopping most?,University,Saginaw Valley State University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Saginaw Valley State University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Saginaw Valley State University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Saginaw Valley State University,Twitter,1,1.0
What social platform has influenced your online shopping most?,University,Saginaw Valley State University,None,0,0.0
What social platform has influenced your online shopping most?,University,University of Missouri,Facebook,1,0.053
What social platform has influenced your online shopping most?,University,University of Missouri,Instagram,1,0.053
What social platform has influenced your online shopping most?,University,University of Missouri,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Missouri,Twitter,2,0.105
What social platform has influenced your online shopping most?,University,University of Missouri,None,15,0.789
What social platform has influenced your online shopping most?,University,University of Michigan,Facebook,3,0.143
What social platform has influenced your online shopping most?,University,University of Michigan,Instagram,3,0.143
What social platform has influenced your online shopping most?,University,University of Michigan,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Michigan,Twitter,1,0.048
What social platform has influenced your online shopping most?,University,University of Michigan,None,14,0.667
What social platform has influenced your online shopping most?,University,Boise State University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Boise State University,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,Boise State University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Boise State University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Boise State University,None,0,0.0
What social platform has influenced your online shopping most?,University,University of Delaware,Facebook,1,0.5
What social platform has influenced your online shopping most?,University,University of Delaware,Instagram,1,0.5
What social platform has influenced your online shopping most?,University,University of Delaware,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Delaware,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Delaware,None,0,0.0
What social platform has influenced your online shopping most?,University,University of Illinois,Facebook,11,0.169
What social platform has influenced your online shopping most?,University,University of Illinois,Instagram,21,0.323
What social platform has influenced your online shopping most?,University,University of Illinois,Snapchat,1,0.015
What social platform has influenced your online shopping most?,University,University of Illinois,Twitter,4,0.062
What social platform has influenced your online shopping most?,University,University of Illinois,None,28,0.431
What social platform has influenced your online shopping most?,University,University of Washington,Facebook,7,0.28
What social platform has influenced your online shopping most?,University,University of Washington,Instagram,9,0.36
What social platform has influenced your online shopping most?,University,University of Washington,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Washington,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Washington,None,9,0.36
What social platform has influenced your online shopping most?,University,University of New Hampshire,Facebook,3,0.5
What social platform has influenced your online shopping most?,University,University of New Hampshire,Instagram,2,0.333
What social platform has influenced your online shopping most?,University,University of New Hampshire,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of New Hampshire,Twitter,1,0.167
What social platform has influenced your online shopping most?,University,University of New Hampshire,None,0,0.0
What social platform has influenced your online shopping most?,University,UMass Dartmouth,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,UMass Dartmouth,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,UMass Dartmouth,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,UMass Dartmouth,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,UMass Dartmouth,None,2,1.0
What social platform has influenced your online shopping most?,University,High Point University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,High Point University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,High Point University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,High Point University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,High Point University,None,2,1.0
What social platform has influenced your online shopping most?,University,University of Minnesota,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Minnesota,Instagram,1,0.5
What social platform has influenced your online shopping most?,University,University of Minnesota,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Minnesota,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Minnesota,None,1,0.5
What social platform has influenced your online shopping most?,University,Claremont McKenna College,Facebook,10,0.161
What social platform has influenced your online shopping most?,University,Claremont McKenna College,Instagram,25,0.403
What social platform has influenced your online shopping most?,University,Claremont McKenna College,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Claremont McKenna College,Twitter,3,0.048
What social platform has influenced your online shopping most?,University,Claremont McKenna College,None,24,0.387
What social platform has influenced your online shopping most?,University,University of North Carolina,Facebook,11,0.234
What social platform has influenced your online shopping most?,University,University of North Carolina,Instagram,9,0.191
What social platform has influenced your online shopping most?,University,University of North Carolina,Snapchat,2,0.043
What social platform has influenced your online shopping most?,University,University of North Carolina,Twitter,3,0.064
What social platform has influenced your online shopping most?,University,University of North Carolina,None,22,0.468
What social platform has influenced your online shopping most?,University,Truman State University,Facebook,16,0.39
What social platform has influenced your online shopping most?,University,Truman State University,Instagram,11,0.268
What social platform has influenced your online shopping most?,University,Truman State University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Truman State University,Twitter,1,0.024
What social platform has influenced your online shopping most?,University,Truman State University,None,13,0.317
What social platform has influenced your online shopping most?,University,University of Central Oklahoma,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Central Oklahoma,Instagram,2,1.0
What social platform has influenced your online shopping most?,University,University of Central Oklahoma,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Central Oklahoma,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Central Oklahoma,None,0,0.0
What social platform has influenced your online shopping most?,University,Illinois State,Facebook,3,0.333
What social platform has influenced your online shopping most?,University,Illinois State,Instagram,1,0.111
What social platform has influenced your online shopping most?,University,Illinois State,Snapchat,1,0.111
What social platform has influenced your online shopping most?,University,Illinois State,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Illinois State,None,4,0.444
What social platform has influenced your online shopping most?,University,University of Guelph,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Guelph,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,University of Guelph,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Guelph,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Guelph,None,0,0.0
What social platform has influenced your online shopping most?,University,Queens University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Queens University,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,Queens University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Queens University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Queens University,None,0,0.0
What social platform has influenced your online shopping most?,University,University of Colorado Boulder,Facebook,1,0.333
What social platform has influenced your online shopping most?,University,University of Colorado Boulder,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of Colorado Boulder,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Colorado Boulder,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Colorado Boulder,None,2,0.667
What social platform has influenced your online shopping most?,University,University of Virginia,Facebook,66,0.251
What social platform has influenced your online shopping most?,University,University of Virginia,Instagram,72,0.274
What social platform has influenced your online shopping most?,University,University of Virginia,Snapchat,6,0.023
What social platform has influenced your online shopping most?,University,University of Virginia,Twitter,12,0.046
What social platform has influenced your online shopping most?,University,University of Virginia,None,107,0.407
What social platform has influenced your online shopping most?,University,Villanova University,Facebook,2,1.0
What social platform has influenced your online shopping most?,University,Villanova University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Villanova University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Villanova University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Villanova University,None,0,0.0
What social platform has influenced your online shopping most?,University,Centre College,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Centre College,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Centre College,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Centre College,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Centre College,None,2,1.0
What social platform has influenced your online shopping most?,University,Texas A&M University,Facebook,1,0.071
What social platform has influenced your online shopping most?,University,Texas A&M University,Instagram,6,0.429
What social platform has influenced your online shopping most?,University,Texas A&M University,Snapchat,2,0.143
What social platform has influenced your online shopping most?,University,Texas A&M University,Twitter,1,0.071
What social platform has influenced your online shopping most?,University,Texas A&M University,None,4,0.286
What social platform has influenced your online shopping most?,University,Johns Hopkins University,Facebook,3,0.333
What social platform has influenced your online shopping most?,University,Johns Hopkins University,Instagram,1,0.111
What social platform has influenced your online shopping most?,University,Johns Hopkins University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Johns Hopkins University,Twitter,1,0.111
What social platform has influenced your online shopping most?,University,Johns Hopkins University,None,4,0.444
What social platform has influenced your online shopping most?,University,University of Wisconsin-Madison,Facebook,19,0.232
What social platform has influenced your online shopping most?,University,University of Wisconsin-Madison,Instagram,25,0.305
What social platform has influenced your online shopping most?,University,University of Wisconsin-Madison,Snapchat,1,0.012
What social platform has influenced your online shopping most?,University,University of Wisconsin-Madison,Twitter,8,0.098
What social platform has influenced your online shopping most?,University,University of Wisconsin-Madison,None,29,0.354
What social platform has influenced your online shopping most?,University,Dartmouth College,Facebook,4,0.267
What social platform has influenced your online shopping most?,University,Dartmouth College,Instagram,1,0.067
What social platform has influenced your online shopping most?,University,Dartmouth College,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Dartmouth College,Twitter,1,0.067
What social platform has influenced your online shopping most?,University,Dartmouth College,None,9,0.6
What social platform has influenced your online shopping most?,University,Purdue University,Facebook,1,0.077
What social platform has influenced your online shopping most?,University,Purdue University,Instagram,2,0.154
What social platform has influenced your online shopping most?,University,Purdue University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Purdue University,Twitter,1,0.077
What social platform has influenced your online shopping most?,University,Purdue University,None,9,0.692
What social platform has influenced your online shopping most?,University,Miami University (Ohio),Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Miami University (Ohio),Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Miami University (Ohio),Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Miami University (Ohio),Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Miami University (Ohio),None,3,1.0
What social platform has influenced your online shopping most?,University,University of North Carolina at Greensboro,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of North Carolina at Greensboro,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of North Carolina at Greensboro,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of North Carolina at Greensboro,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of North Carolina at Greensboro,None,1,1.0
What social platform has influenced your online shopping most?,University,Michigan State University,Facebook,1,1.0
What social platform has influenced your online shopping most?,University,Michigan State University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Michigan State University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Michigan State University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Michigan State University,None,0,0.0
What social platform has influenced your online shopping most?,University,Butler University,Facebook,6,0.286
What social platform has influenced your online shopping most?,University,Butler University,Instagram,9,0.429
What social platform has influenced your online shopping most?,University,Butler University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Butler University,Twitter,2,0.095
What social platform has influenced your online shopping most?,University,Butler University,None,4,0.19
What social platform has influenced your online shopping most?,University,Indiana University,Facebook,13,0.245
What social platform has influenced your online shopping most?,University,Indiana University,Instagram,15,0.283
What social platform has influenced your online shopping most?,University,Indiana University,Snapchat,3,0.057
What social platform has influenced your online shopping most?,University,Indiana University,Twitter,4,0.075
What social platform has influenced your online shopping most?,University,Indiana University,None,18,0.34
What social platform has influenced your online shopping most?,University,Kutztown University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Kutztown University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Kutztown University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Kutztown University,Twitter,1,1.0
What social platform has influenced your online shopping most?,University,Kutztown University,None,0,0.0
What social platform has influenced your online shopping most?,University,University of Mississippi,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Mississippi,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,University of Mississippi,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Mississippi,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Mississippi,None,0,0.0
What social platform has influenced your online shopping most?,University,University of Mount Union,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Mount Union,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of Mount Union,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Mount Union,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Mount Union,None,1,1.0
What social platform has influenced your online shopping most?,University,Duke University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Duke University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Duke University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Duke University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Duke University,None,1,1.0
What social platform has influenced your online shopping most?,University,Shippensburg University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Shippensburg University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Shippensburg University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Shippensburg University,Twitter,1,1.0
What social platform has influenced your online shopping most?,University,Shippensburg University,None,0,0.0
What social platform has influenced your online shopping most?,University,University of Pennsylvania,Facebook,1,0.5
What social platform has influenced your online shopping most?,University,University of Pennsylvania,Instagram,1,0.5
What social platform has influenced your online shopping most?,University,University of Pennsylvania,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Pennsylvania,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Pennsylvania,None,0,0.0
What social platform has influenced your online shopping most?,University,"University of California, Berkeley",Facebook,5,0.208
What social platform has influenced your online shopping most?,University,"University of California, Berkeley",Instagram,5,0.208
What social platform has influenced your online shopping most?,University,"University of California, Berkeley",Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,"University of California, Berkeley",Twitter,1,0.042
What social platform has influenced your online shopping most?,University,"University of California, Berkeley",None,13,0.542
What social platform has influenced your online shopping most?,University,Manhattan College,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Manhattan College,Instagram,2,0.154
What social platform has influenced your online shopping most?,University,Manhattan College,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Manhattan College,Twitter,2,0.154
What social platform has influenced your online shopping most?,University,Manhattan College,None,9,0.692
What social platform has influenced your online shopping most?,University,University of Central Arkansas,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Central Arkansas,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,University of Central Arkansas,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Central Arkansas,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Central Arkansas,None,0,0.0
